,doc_hdr_id,doc_typ_nm,doc_crte_dt,crte_dt,doc_mdfn_dt,actn_rqst_cd,prncpl_nm,grp_nm,qual_role_nm,fld_nm,fld_val
154,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,department2,IN-INFO
155,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,major1,IN-INFOPHDP
156,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,major2,IN-INFOPHDP
157,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,concentration1,
158,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,concentration2,
159,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,minor1,IN-INHCIMIN
160,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,minor2,Select
161,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,campus,IN
162,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,department1,IN-SHRS
163,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,department2,Select
164,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,major1,IN-HREBSCPHD
165,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,major2,Select
166,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,minor1,Health Promotion
167,37132196,UGS.CommitteeV2.Doctype,10-Apr-15,11-Jun-15,10-Apr-15,A,breagan,0,0,minor2,
168,37185438,UGS-MAAdvancedDegree.ParentDoctype,14-Apr-15,15-Apr-15,14-Apr-15,A,anirde,0,0,campus,IN
169,37185438,UGS-MAAdvancedDegree.ParentDoctype,14-Apr-15,15-Apr-15,14-Apr-15,A,anirde,0,0,department,IN-MUSE
170,37185438,UGS-MAAdvancedDegree.ParentDoctype,14-Apr-15,15-Apr-15,14-Apr-15,A,anirde,0,0,major,IN-MUSSTMA
171,39849640,UGS.StudyAbroad.Doctype,26-May-15,26-May-15,26-May-15,A,0,UGS.StudyAbroad.OverseasStudyOffice.BL,0,campus,BL
172,39849640,UGS.StudyAbroad.Doctype,26-May-15,26-May-15,26-May-15,A,0,UGS.StudyAbroad.OverseasStudyOffice.BL,0,department,KSCN
173,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,campus,IN
174,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,department1,IN-BIOC
175,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,department2,Select
176,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,major1,IN-BIOCMBPHD
177,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,major2,Select
178,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,minor1,
179,40333650,UGS.CommitteeV2.Doctype,10-Jun-15,19-Aug-15,10-Jun-15,A,0,0,ipetrach,minor2,
180,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,campus,IN
181,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,department1,IN-PHSL
182,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,department2,Select
183,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,major1,IN-CELINPHPHD
184,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,major2,Select
